Account Name,Service Name,Audit Type,Location,Address,City,State,Zip,Round,Scheduled Date,Start Date,Completion Date,Audit Duration,Score,Golf Score,Specialist,RP Order #,Status,Imported From,Sent To Client,Report
OCP Corp, Express Audit,Audit,T0776,344 NE Northgate Way,Harper Woods,WA,48225-1046,Round 4 - 2013,8/23/13 0:00,8/23/13 8:26,8/23/13 11:00,153,0,0,Kendall Goguen,8148097,Closed,,2013-08-24T01:34:17.590,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T0776,345 NE Northgate Way,Harper Woods,WA,48225-1046,Round 4 - 2013,8/23/13 0:00,8/23/13 8:23,8/23/13 11:00,156,91.58,4,Shona Dodd,8146663,Closed,,2013-08-24T01:34:18.600,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T2491,346 NE Northgate Way,Sun Prairie,WA,53590-9832,Round 4 - 2013,8/23/13 0:00,8/23/13 8:00,8/23/13 10:49,168,93.8,3,Suzanna Tusing,8145208,Closed,,2013-08-23T21:14:29.773,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T0111,347 NE Northgate Way,Kokomo,WA,46902-1929,Round 4 - 2013,8/23/13 0:00,8/23/13 8:16,8/23/13 10:46,149,91.65,5,Latarsha Preslar,8146965,Closed,,2013-08-24T00:26:33.370,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1497,348 NE Northgate Way,Orange Park,WA,32003-7927,Round 4 - 2013,8/23/13 0:00,8/23/13 8:28,8/23/13 10:40,131,97.5,2,Lyman Shemwell,8145962,Closed,,2013-08-23T22:28:43.033,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T0927,349 NE Northgate Way,Evanston,WA,60202-3636,Round 4 - 2013,8/23/13 0:00,8/23/13 8:08,8/23/13 10:28,139,0,0,Nellie Madding,8148194,Closed,,2013-08-24T03:59:19.083,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T0927,350 NE Northgate Way,Evanston,WA,60202-3636,Round 4 - 2013,8/23/13 0:00,8/23/13 8:05,8/23/13 10:27,141,93.11,6,Adeline Mccusker,8146524,Closed,,2013-08-24T03:59:21.510,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1017,351 NE Northgate Way,Chester,WA,23831-5350,Round 4 - 2013,8/22/13 0:00,8/22/13 14:45,8/22/13 17:47,182,1,1,Roseanna Pillar,8147526,Closed,,2013-08-23T04:06:57.210,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1017,352 NE Northgate Way,Chester,WA,23831-5350,Round 4 - 2013,8/22/13 0:00,8/22/13 14:45,8/22/13 17:47,182,85.73,8,Chad Smurf,8146444,Closed,,2013-08-23T04:07:01.230,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2206,353 NE Northgate Way,Nampa,WA,83687-7910,Round 4 - 2013,8/22/13 0:00,8/22/13 15:03,8/22/13 17:25,141,2,2,Lita Willimas,8147805,Closed,,2013-08-23T02:45:47.367,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2206,354 NE Northgate Way,Nampa,WA,83687-7910,Round 4 - 2013,8/22/13 0:00,8/22/13 14:59,8/22/13 17:25,145,94.39,6,Kimiko Cabe,8145463,Closed,,2013-08-23T02:45:49.387,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1206,355 NE Northgate Way,Buford,WA,30519-4938,Round 4 - 2013,8/22/13 0:00,8/22/13 14:41,8/22/13 17:21,160,89.05,4,Zenaida Koran,8146256,Closed,,2013-08-23T00:30:30.693,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2137,356 NE Northgate Way,Atlanta,WA,30363-1190,Round 4 - 2013,8/22/13 0:00,8/22/13 14:14,8/22/13 16:57,162,0,0,Gerald Schoenberger,8148084,Closed,,2013-08-23T00:38:47.443,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2137,357 NE Northgate Way,Atlanta,WA,30363-1190,Round 4 - 2013,8/22/13 0:00,8/22/13 14:09,8/22/13 16:57,167,93.69,4,Jayne Mcbain,8145533,Closed,,2013-08-23T00:38:50.433,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1764,358 NE Northgate Way,Plano,WA,75093-4300,Round 4 - 2013,8/22/13 0:00,8/22/13 12:46,8/22/13 16:48,241,1,1,Forrest Boze,8147489,Closed,,2013-08-22T22:38:32.780,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1764,359 NE Northgate Way,Plano,WA,75093-4300,Round 4 - 2013,8/22/13 0:00,8/22/13 12:41,8/22/13 16:47,245,94.98,9,Tana Nolley,8145890,Closed,,2013-08-22T22:38:35.690,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1308,360 NE Northgate Way,Framingham,WA,1701,Round 4 - 2013,8/22/13 0:00,8/22/13 13:43,8/22/13 16:45,181,0,0,Rachele Lashua,8147713,Closed,,2013-08-22T20:54:01.750,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1308,361 NE Northgate Way,Framingham,WA,1701,Round 4 - 2013,8/22/13 0:00,8/22/13 13:40,8/22/13 16:45,184,92.75,5,Jacinta Pease,8146163,Closed,,2013-08-22T20:54:03.850,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T0120,362 NE Northgate Way,Louisville,WA,40258-1007,Round 4 - 2013,8/22/13 0:00,8/22/13 14:13,8/22/13 16:42,148,91.65,5,Dorris Lyford,8146966,Closed,,2013-08-22T22:59:01.633,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2340,363 NE Northgate Way,Burnsville,WA,55337-4426,Round 4 - 2013,8/22/13 0:00,8/22/13 15:03,8/22/13 16:13,69,2,2,Kizzie Rea,8147179,Closed,,2013-08-22T23:22:39.623,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2340,364 NE Northgate Way,Burnsville,WA,55337-4426,Round 4 - 2013,8/22/13 0:00,8/22/13 10:51,8/22/13 16:13,321,95.9,7,Sherly Gaudet,8145339,Closed,,2013-08-22T23:22:43.260,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T2770,365 NE Northgate Way,Virginia Beach,WA,23462-3004,Round 4 - 2013,8/22/13 0:00,8/22/13 12:40,8/22/13 16:10,209,90.19,4,Anamaria Durbin,8147043,Closed,,2013-08-23T01:25:06.960,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2770,366 NE Northgate Way,Virginia Beach,WA,23462-3004,Round 4 - 2013,8/22/13 0:00,8/22/13 12:42,8/22/13 16:07,204,0,0,Gillian Ceasar,8148267,Closed,,2013-08-23T01:25:04.817,Yum - FSC Single Department.pdf
OCP Corp, Express Audit,Audit,T2335,367 NE Northgate Way,Mckinney,WA,75070-2911,Round 4 - 2013,8/22/13 0:00,8/22/13 11:46,8/22/13 15:14,207,2,2,Lorretta Marcial,8147208,Closed,,2013-08-22T22:25:06.420,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2335,368 NE Northgate Way,Mckinney,WA,75070-2911,Round 4 - 2013,8/22/13 0:00,8/22/13 10:40,8/22/13 15:14,273,85.44,22,Shirl Winger,8145335,Closed,,2013-08-22T22:25:19.280,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2457,369 NE Northgate Way,Rapid City,WA,57703,Round 4 - 2013,8/22/13 0:00,8/22/13 11:12,8/22/13 13:50,157,3,3,Astrid Adamo,8147946,Closed,,2013-08-23T02:17:07.317,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2457,370 NE Northgate Way,Rapid City,WA,57703,Round 4 - 2013,8/22/13 0:00,8/22/13 11:12,8/22/13 13:50,157,79.45,9,Enda Lotts,8145232,Closed,,2013-08-23T02:17:09.837,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1513,371 NE Northgate Way,Louisville,WA,40219-6178,Round 4 - 2013,8/22/13 0:00,8/22/13 11:16,8/22/13 13:49,152,0,0,Jayme Everette,8147228,Closed,,2013-08-22T22:59:00.090,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1513,372 NE Northgate Way,Louisville,WA,40219-6178,Round 4 - 2013,8/22/13 0:00,8/22/13 11:12,8/22/13 13:49,156,90.71,4,Syreeta Updike,8145954,Closed,,2013-08-22T22:59:01.430,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1171,373 NE Northgate Way,Las Vegas,WA,89183-6841,Round 4 - 2013,8/22/13 0:00,8/22/13 10:04,8/22/13 13:34,209,4,4,Ja Kluender,8147156,Closed,,2013-08-22T22:07:25.910,Yum - FSC Single Department.pdf
OCP Corp, Express Audit,Audit,T2334,374 NE Northgate Way,Dallas,WA,75237-3560,Round 4 - 2013,8/22/13 0:00,8/22/13 10:24,8/22/13 13:28,183,1,1,Casandra Ryder,8148107,Closed,,2013-08-22T22:19:41.223,Yum - FSC Single Department.pdf
OCP Corp, Express Audit,Audit,T2499,375 NE Northgate Way,Murrieta,WA,92562,Round 4 - 2013,8/22/13 0:00,8/22/13 8:03,8/22/13 13:24,320,2,2,Ashleigh Milliken,8148007,Closed,,2013-08-23T03:48:30.030,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2499,376 NE Northgate Way,Murrieta,WA,92562,Round 4 - 2013,8/22/13 0:00,8/22/13 8:00,8/22/13 13:15,314,92.16,8,Evelyn Dykeman,8145191,Closed,,2013-08-23T03:48:32.040,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2214,377 NE Northgate Way,Lincoln,WA,95648-7415,Round 4 - 2013,8/22/13 0:00,8/22/13 10:25,8/22/13 13:13,167,2,2,Shantell Messersmith,8148186,Closed,,2013-08-22T21:03:03.967,Yum - FSC Single Department.pdf
OCP Corp, Express Audit,Audit,T1974,378 NE Northgate Way,Jacksonville,WA,32246-7411,Round 4 - 2013,8/22/13 0:00,8/22/13 10:28,8/22/13 13:13,164,0,0,Harland Gullett,8148071,Closed,,2013-08-23T00:44:25.130,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1974,379 NE Northgate Way,Jacksonville,WA,32246-7411,Round 4 - 2013,8/22/13 0:00,8/22/13 10:26,8/22/13 13:13,166,94.92,4,Vivienne Pawloski,8145676,Closed,,2013-08-23T00:44:26.083,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T2214,380 NE Northgate Way,Lincoln,WA,95648-7415,Round 4 - 2013,8/22/13 0:00,8/22/13 10:21,8/22/13 13:12,170,98.13,2,Dian Bosio,8145458,Closed,,2013-08-22T21:03:02.690,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T2334,381 NE Northgate Way,Dallas,WA,75237-3560,Round 4 - 2013,8/22/13 0:00,8/22/13 10:21,8/22/13 13:11,169,91.58,4,Florine Lawley,8145346,Closed,,2013-08-22T22:19:42.070,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1171,382 NE Northgate Way,Las Vegas,WA,89183-6841,Round 4 - 2013,8/22/13 0:00,8/22/13 9:59,8/22/13 13:03,183,89.55,7,Marlo Gramlich,8146296,Closed,,2013-08-22T22:07:14.097,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T0746,383 NE Northgate Way,Miami,WA,33196-1314,Round 4 - 2013,8/22/13 0:00,8/22/13 9:42,8/22/13 13:01,198,88.54,5,Meryl Mckissick,8146695,Closed,,2013-08-22T21:53:45.310,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T2372,384 NE Northgate Way,Anchorage,WA,99515-2673,Round 4 - 2013,8/22/13 0:00,8/22/13 10:21,8/22/13 13:01,159,90.69,7,Jerri Goetzinger,8145307,Closed,,2013-08-23T01:36:08.683,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T0746,385 NE Northgate Way,Miami,WA,33196-1314,Round 4 - 2013,8/22/13 0:00,8/22/13 9:44,8/22/13 13:00,195,1,1,Reinaldo Demarco,8147123,Closed,,2013-08-22T21:53:42.623,Yum - FSC Single Department.pdf
OCP Corp, Express Audit,Audit,T2372,386 NE Northgate Way,Anchorage,WA,99515-2673,Round 4 - 2013,8/22/13 0:00,8/22/13 10:24,8/22/13 12:41,136,0,0,Kristy Yancy,8147498,Closed,,2013-08-23T01:36:04.850,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T0289,387 NE Northgate Way,Cerritos,WA,90703-7821,Round 4 - 2013,8/22/13 0:00,8/22/13 9:00,8/22/13 12:39,219,95.88,2,Ona Boso,8146874,Closed,,2013-08-23T00:22:18.977,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1488,388 NE Northgate Way,Chicago,WA,60619-6116,Round 4 - 2013,8/22/13 0:00,8/22/13 10:13,8/22/13 12:34,140,89.22,6,Robbin Cantero,8145979,Closed,,2013-08-23T03:16:35.507,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2293,389 NE Northgate Way,Romeoville,WA,60446-6530,Round 4 - 2013,8/22/13 0:00,8/22/13 9:45,8/22/13 12:33,167,0,0,Gilberte Veith,8147169,Closed,,2013-08-23T12:58:18.207,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T2293,390 NE Northgate Way,Romeoville,WA,60446-6530,Round 4 - 2013,8/22/13 0:00,8/22/13 9:40,8/22/13 12:33,172,96.26,4,Sylvie Toupin,8145381,Closed,,2013-08-23T12:58:19.513,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1527,391 NE Northgate Way,Sacramento,WA,95823-5415,Round 4 - 2013,8/15/13 0:00,8/22/13 9:22,8/22/13 11:58,156,0,0,Angeles Vickery,8147583,Closed,,2013-08-23T06:47:21.860,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1527,392 NE Northgate Way,Sacramento,WA,95823-5415,Round 4 - 2013,8/15/13 0:00,8/22/13 9:17,8/22/13 11:58,160,82.43,6,Hollie Faller,8145925,Closed,,2013-08-23T06:47:12.990,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T1163,393 NE Northgate Way,Fort Lauderdale,WA,33306-1062,Round 4 - 2013,8/22/13 0:00,8/22/13 8:55,8/22/13 11:48,172,0,0,Shaunna Lawry,8147661,Closed,,2013-08-23T11:55:56.653,Yum - FSC Single Department.pdf
OCP Corp,OCP Corp Audit,Audit,T1389,394 NE Northgate Way,Deptford,WA,8096,Round 4 - 2013,8/22/13 0:00,8/22/13 9:38,8/22/13 11:48,129,87.93,5,Edmundo Job,8146084,Closed,,2013-08-23T00:25:19.347,OCP Corp Audit Report.pdf
OCP Corp,OCP Corp Audit,Audit,T1163,395 NE Northgate Way,Fort Lauderdale,WA,33306-1062,Round 4 - 2013,8/22/13 0:00,8/22/13 8:52,8/22/13 11:48,175,92.87,4,Kendall Goguen,8146300,Closed,,2013-08-23T11:55:56.967,OCP Corp Audit Report.pdf
OCP Corp, Express Audit,Audit,T2475,396 NE Northgate Way,Bronx,WA,10451-2042,Round 4 - 2013,8/22/13 0:00,8/22/13 8:48,8/22/13 11:45,176,4,4,Shona Dodd,8147693,Closed,,2013-08-22T23:30:42.040,Yum - FSC Single Department.pdf
